City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
albany,75.0,US,1586624453.0,36.0,42.6,-73.97,48.99,20.8
poquoson,1.0,US,1586624521.0,33.0,37.12,-76.35,60.01,13.87
waingapu,27.0,ID,1586624521.0,78.0,-9.66,120.26,77.63,5.97
ushuaia,40.0,AR,1586624462.0,49.0,-54.8,-68.3,48.2,25.28
ponta do sol,75.0,PT,1586624522.0,68.0,32.67,-17.1,64.4,8.05
gazojak,62.0,TM,1586624522.0,27.0,41.19,61.4,64.9,9.31
busselton,100.0,AU,1586624522.0,51.0,-33.65,115.33,69.01,6.13
punta cardon,38.0,VE,1586624522.0,73.0,11.66,-70.22,83.48,26.02
puerto ayora,75.0,EC,1586624522.0,74.0,-0.74,-90.35,84.99,9.17
hobart,90.0,AU,1586624237.0,62.0,-42.88,147.33,51.8,16.11
yatou,5.0,CN,1586624522.0,59.0,37.15,122.38,44.67,9.26
khani,75.0,GE,1586624522.0,87.0,41.96,42.96,48.2,4.7
barrow,1.0,US,1586624523.0,91.0,71.29,-156.79,-18.4,9.17
saskylakh,87.0,RU,1586624523.0,90.0,71.92,114.08,4.77,17.72
guerrero negro,67.0,MX,1586624523.0,50.0,27.98,-114.06,65.91,12.44
rawson,3.0,AR,1586624523.0,29.0,-43.3,-65.1,63.81,16.6
lethem,85.0,GY,1586624523.0,41.0,3.38,-59.8,91.87,10.63
rikitea,94.0,PF,1586624523.0,74.0,-23.12,-134.97,76.73,3.83
talnakh,75.0,RU,1586624523.0,97.0,69.49,88.4,32.0,40.26
midland,90.0,US,1586624422.0,77.0,32.0,-102.08,75.2,8.05
boksitogorsk,82.0,RU,1586624523.0,93.0,59.47,33.85,30.36,2.1
port blair,67.0,IN,1586624524.0,71.0,11.67,92.75,82.76,6.69
clifton springs,90.0,AU,1586624524.0,100.0,-38.15,144.57,55.99,14.99
florence,0.0,IT,1586624329.0,55.0,43.77,11.25,73.99,10.29
kendari,100.0,ID,1586624524.0,95.0,-3.94,122.5,74.35,1.59
mahebourg,75.0,MU,1586624464.0,88.0,-20.41,57.7,78.01,17.22
qaanaaq,77.0,GL,1586624524.0,78.0,77.48,-69.36,13.87,3.33
